n,Insert,Print,Delete,Merge,IndexOf,Clear,Min,Max,HasDuplicates,Select
1,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
2,0.0,9.973049163818359e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,9.982585906982421e-06,0.0,0.0, 0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
9,0.0,1.0113716125488282e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
10,0.0,9.992122650146484e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
11,0.0,9.95635986328125e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
12,0.0,9.968280792236329e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
13,0.0,1.003265380859375e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
14,0.0,9.99927520751953e-06,0.0,9.961128234863282e-06,0.0,0.0, 0.0,0.0,0.0,0.0
15,0.0,9.975433349609376e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
16,0.0,4.9891471862792967e-05,0.0,9.973049163818359e-06,0.0,0.0, 0.0,0.0,0.0,0.0
17,0.0,9.95159149169922e-06,9.99927520751953e-06,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
18,0.0,9.961128234863282e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
19,0.0,9.975433349609376e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
20,0.0,9.980201721191406e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
21,0.0,1.9862651824951172e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
22,0.0,9.973049163818359e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
23,0.0,1.0035037994384766e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
24,0.0,9.975433349609376e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
25,0.0,9.973049163818359e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
26,0.0,9.87529754638672e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
27,0.0,1.0123252868652344e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
28,0.0,9.992122650146484e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
29,0.0,9.970664978027344e-06,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
30,0.0,1.0061264038085938e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
31,0.0,1.9943714141845704e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
32,0.0,1.9943714141845704e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
33,0.0,1.0004043579101563e-05,0.0,9.942054748535157e-06,0.0,0.0, 0.0,0.0,0.0,0.0
34,0.0,1.993894577026367e-05,0.0,9.963512420654297e-06,0.0,0.0, 0.0,0.0,0.0,0.0
35,0.0,9.977817535400391e-06,0.0,9.965896606445312e-06,0.0,0.0, 0.0,0.0,0.0,0.0
36,0.0,1.9807815551757812e-05,9.970664978027344e-06,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
37,0.0,1.9943714141845704e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
